OverallQual,GrLivArea,TotalBsmtSF,YearBuilt,Location,SalePrice
9,2723,0,2017,Gurgaon,451991
7,1239,0,2023,Bangalore,153134
6,1209,0,2014,Bangalore,119529
5,1986,0,2002,Bangalore,129363
7,1674,0,2014,Bangalore,185904
7,600,0,2005,Bangalore,54032
6,936,0,2024,Bangalore,96334
5,2190,0,2008,Bangalore,172882
6,2059,0,2016,Gurgaon,248960
6,1453,0,1971,Gurgaon,94030
4,1421,0,2008,Bangalore,97231
4,1856,0,2021,Gurgaon,158527
7,1838,0,2014,Bangalore,178783
2,670,0,2009,Kolkata,17143
7,1412,0,2023,Gurgaon,200030
6,1991,0,2021,Gurgaon,208630
8,1978,0,2005,Gurgaon,262518
5,2147,0,2012,Gurgaon,199702
7,934,0,2011,Bangalore,104667
6,1664,0,2015,Bangalore,157630
6,2002,0,2005,Bangalore,156898
7,1723,0,2002,Bangalore,169745
6,1563,0,2022,Bangalore,170224
8,1342,0,2023,Kolkata,133039
5,1415,0,2020,Gurgaon,147499
7,1812,0,2024,Gurgaon,219252
8,2685,0,2018,Gurgaon,371885
7,1445,484,2018,Bangalore,167322
9,1450,0,2018,Bangalore,211096
5,1594,0,2010,Gurgaon,143586
4,1592,0,2010,Bangalore,100512
5,1655,0,2001,Gurgaon,130160
7,1723,0,2015,Bangalore,183850
7,1740,0,2003,Bangalore,169182
6,2312,372,2002,Gurgaon,261079
4,2590,0,2013,Gurgaon,209903
7,1958,0,2008,Bangalore,162662
4,1364,0,2001,Gurgaon,93831
8,1560,407,2020,Gurgaon,287921
10,2350,0,2021,Gurgaon,548286
7,1024,0,1997,Kolkata,65533
7,756,0,1963,Kolkata,36751
5,1296,0,2005,Bangalore,97476
4,1603,0,2019,Gurgaon,119926
5,937,0,2020,Kolkata,67043
4,1354,0,1994,Bangalore,73662
4,2042,0,2019,Bangalore,125940
9,1951,420,1992,Bangalore,262996
7,3135,0,2007,Gurgaon,357979
7,1938,500,2024,Gurgaon,282594
6,1086,0,2000,Kolkata,71240
6,1501,0,1996,Bangalore,110516
8,2163,0,2009,Gurgaon,286606
6,2076,0,2014,Gurgaon,234609
7,2455,0,2023,Bangalore,272266
6,1410,0,2024,Gurgaon,187295
5,1535,0,1985,Kolkata,62200
4,1595,0,1994,Bangalore,83545
3,777,265,2019,Bangalore,49251
6,1854,0,2003,Bangalore,139001
6,2083,0,2022,Bangalore,199321
4,1105,0,2016,Bangalore,60910
6,1495,0,1992,Bangalore,113179
6,952,0,2020,Gurgaon,109302
3,920,0,1998,Bangalore,38447
5,2394,0,2009,Gurgaon,213928
7,1285,0,2012,Bangalore,141927
7,1273,0,2011,Gurgaon,149764
4,1969,0,2016,Gurgaon,158588
6,1578,0,2015,Gurgaon,204436
8,1463,0,2024,Bangalore,229974
7,2234,0,2024,Gurgaon,349534
6,746,0,2011,Kolkata,54295
5,1083,0,1990,Bangalore,61982
5,1930,0,2017,Gurgaon,198608
7,1945,0,2024,Bangalore,225608
6,2493,0,2005,Gurgaon,263874
7,940,0,2010,Kolkata,72348
6,1931,0,2009,Bangalore,156602
7,1139,0,1982,Bangalore,81340
6,2799,171,2016,Gurgaon,333461
7,978,0,2006,Bangalore,95611
8,2291,0,2019,Bangalore,268585
5,943,0,2020,Kolkata,57396
4,2426,0,2020,Bangalore,202837
8,1952,0,2008,Bangalore,261173
7,1321,0,2005,Gurgaon,158358
4,1578,0,2018,Gurgaon,114920
5,1859,0,2019,Bangalore,137946
7,1984,0,2011,Bangalore,217502
6,1813,0,2022,Gurgaon,255331
5,1217,0,1995,Kolkata,52694
8,1675,0,2021,Kolkata,174833
4,1918,0,1990,Gurgaon,123940
5,904,0,1996,Bangalore,60085
6,1427,0,2012,Gurgaon,157363
7,1608,0,1985,Bangalore,100007
7,2482,0,1982,Gurgaon,226276
7,2243,0,1960,Bangalore,138380
6,1858,462,2009,Bangalore,170644
7,1632,0,2019,Bangalore,177432
6,2239,0,1977,Gurgaon,130894
6,939,0,2015,Kolkata,62169
6,1770,0,2020,Gurgaon,243078
6,1421,0,1997,Gurgaon,130539
7,925,0,1995,Bangalore,79556
7,2023,0,2021,Gurgaon,329828
6,1272,0,2020,Kolkata,92433
5,1468,0,2012,Kolkata,85290
6,2133,282,2020,Gurgaon,291332
6,1294,0,1990,Kolkata,68848
6,2139,0,2007,Gurgaon,230473
10,2020,0,2018,Bangalore,349079
5,2064,539,2002,Gurgaon,186972
7,916,0,2018,Kolkata,74554
8,2222,0,2011,Gurgaon,340424
6,2197,0,2018,Gurgaon,268363
10,1731,0,2010,Bangalore,313357
6,1220,0,2006,Kolkata,80068
7,956,0,2001,Kolkata,70902
5,1257,0,2000,Bangalore,87271
6,761,0,2018,Kolkata,50909
6,1693,0,1992,Kolkata,96439
7,1990,435,1989,Bangalore,151497
7,2129,0,1998,Gurgaon,248062
8,2587,0,1998,Bangalore,277891
6,1412,375,2020,Bangalore,172944
6,3426,0,2008,Gurgaon,357386
10,2271,0,2024,Gurgaon,543391
7,1617,0,1994,Bangalore,120890
5,1643,0,2015,Gurgaon,156891
5,1345,0,2010,Kolkata,82337
5,2284,0,2007,Gurgaon,201800
8,1970,0,2021,Gurgaon,345008
6,1892,0,2024,Kolkata,161035
6,1974,0,2021,Gurgaon,236271
6,1990,0,2000,Gurgaon,190687
7,1081,0,2001,Bangalore,114090
5,1363,0,2015,Kolkata,88030
4,1780,383,2003,Gurgaon,138131
7,1533,0,2018,Gurgaon,196892
7,1142,0,2013,Bangalore,119215
7,2241,0,2012,Kolkata,181898
5,1378,0,2020,Bangalore,126083
7,1092,0,2017,Gurgaon,173264
5,1486,0,1973,Gurgaon,78526
5,1823,0,1982,Gurgaon,125061
5,2134,542,2014,Gurgaon,204170
8,1935,339,2011,Bangalore,248589
7,2201,0,2002,Gurgaon,280870
7,1203,0,2008,Bangalore,116750
8,1836,0,2018,Bangalore,184870
10,1637,0,2020,Bangalore,338253
4,1527,0,2013,Gurgaon,144136
5,842,0,2007,Kolkata,38913
5,953,0,2003,Bangalore,75850
5,1989,0,2012,Bangalore,128749
4,2208,0,2004,Gurgaon,172052
6,2357,0,2013,Gurgaon,266979
4,1215,0,2016,Kolkata,50944
6,2253,0,1985,Gurgaon,177224
6,934,0,1960,Gurgaon,62184
7,1897,0,2000,Bangalore,183538
7,1581,0,2022,Bangalore,194615
7,1444,0,2015,Kolkata,113124
6,2047,0,1998,Gurgaon,157083
9,1175,0,2022,Kolkata,154298
7,1071,350,2010,Gurgaon,185661
3,1172,0,2010,Bangalore,67511
5,1759,0,2023,Bangalore,132186
3,2208,0,1983,Gurgaon,84838
6,1138,0,2001,Gurgaon,107634
6,1048,409,2013,Bangalore,101548
5,917,0,2000,Kolkata,49892
9,1695,0,2016,Bangalore,253148
7,668,0,2000,Kolkata,43068
7,645,0,1990,Kolkata,43663
5,1121,0,2000,Bangalore,82902
5,1539,0,2009,Bangalore,103817
6,1236,0,1998,Gurgaon,108569
6,1789,0,1994,Gurgaon,136317
3,1612,0,2021,Kolkata,70920
6,901,0,2005,Bangalore,74132
6,1742,406,2006,Gurgaon,199518
6,1971,436,1983,Bangalore,139153
5,1307,0,2006,Bangalore,93937
5,976,0,2002,Kolkata,51808
6,2035,0,2014,Bangalore,191756
6,1359,0,2000,Bangalore,121076
7,2424,0,2022,Gurgaon,347790
8,1877,0,2023,Bangalore,263859
6,1342,0,1990,Bangalore,95673
5,1387,0,1991,Kolkata,62838
7,1647,0,1992,Bangalore,142023
7,2380,0,2014,Gurgaon,294915
5,1564,0,1993,Gurgaon,123137
7,1518,226,2021,Bangalore,192026
8,1356,0,2018,Kolkata,125008
8,2396,0,2020,Gurgaon,393673
9,1676,0,2012,Gurgaon,286638
5,1967,0,2024,Bangalore,151918
6,2092,0,1981,Gurgaon,163729
6,686,0,2008,Kolkata,44202
6,2478,0,2005,Gurgaon,268425
5,3011,0,2023,Gurgaon,312903
4,1590,0,2013,Kolkata,93631
6,2592,303,2020,Gurgaon,336684
5,1894,0,1998,Gurgaon,134807
6,986,0,2024,Gurgaon,115203
5,891,0,2011,Gurgaon,75354
5,1982,0,2011,Gurgaon,217683
7,1542,0,2024,Gurgaon,248784
6,1374,0,2007,Gurgaon,145901
7,1817,0,2008,Gurgaon,195620
9,2143,0,2013,Bangalore,358500
6,831,281,1993,Bangalore,68348
7,1616,0,2005,Gurgaon,182931
4,2635,0,2000,Gurgaon,213692
4,1005,362,1991,Bangalore,64618
9,1899,0,2021,Kolkata,281374
5,1010,0,2013,Kolkata,62562
5,2133,0,2006,Gurgaon,179246
6,2420,0,2008,Gurgaon,233217
6,2235,0,2009,Gurgaon,195122
5,2322,393,2015,Gurgaon,239295
6,970,0,2023,Bangalore,109263
8,2192,0,2023,Bangalore,315151
5,1406,447,2007,Gurgaon,141584
4,1984,198,2005,Gurgaon,139057
8,1798,216,2010,Bangalore,238334
7,2102,0,2013,Gurgaon,295279
5,1331,0,2010,Kolkata,83655
4,1411,0,2015,Gurgaon,115774
5,673,0,2012,Kolkata,38342
6,2303,0,2005,Gurgaon,249818
8,1452,0,2006,Kolkata,100415
5,1648,0,2007,Kolkata,92128
6,1182,0,1990,Kolkata,80813
7,651,0,1997,Kolkata,36705
3,1944,0,2017,Bangalore,100349
8,1509,0,2007,Bangalore,165339
4,1657,0,2001,Bangalore,93787
7,1513,0,2013,Gurgaon,212940
7,2256,547,2018,Bangalore,276492
8,1276,0,2002,Bangalore,141613
7,1068,427,2020,Kolkata,123424
3,1549,0,2023,Bangalore,91102
5,1282,0,2014,Gurgaon,155693
6,1652,0,2016,Bangalore,153996
6,2688,0,1982,Gurgaon,207241
7,1594,0,2023,Gurgaon,200985
7,1681,0,2007,Bangalore,151252
7,600,0,2023,Bangalore,77257
6,1829,0,2013,Gurgaon,186309
3,1687,0,1962,Gurgaon,49257
5,1424,0,1979,Gurgaon,74308
7,2412,0,2016,Gurgaon,348668
5,1680,0,2013,Gurgaon,163777
7,1418,0,1973,Bangalore,77833
8,1833,0,2018,Gurgaon,238753
6,600,0,2021,Kolkata,49187
2,758,0,2011,Kolkata,24264
4,1942,0,2010,Bangalore,110779
9,1112,0,1962,Gurgaon,116190
5,1147,0,2019,Bangalore,96263
3,1044,0,2005,Kolkata,41312
8,2482,0,2021,Bangalore,356409
6,1499,0,2007,Kolkata,99906
8,1423,0,2013,Bangalore,182170
7,2100,0,2003,Bangalore,211548
7,1464,0,1997,Gurgaon,128832
7,1964,277,2019,Bangalore,196253
7,1143,0,2011,Gurgaon,139600
10,2533,0,2012,Bangalore,439752
8,1221,0,2024,Kolkata,132779
4,1315,0,2024,Gurgaon,121952
7,1400,0,2021,Bangalore,179831
8,2174,0,1999,Gurgaon,282999
8,1452,0,2014,Bangalore,166279
6,2138,0,2021,Gurgaon,275681
8,1152,0,2007,Kolkata,90785
7,2172,0,1991,Gurgaon,217768
10,1912,0,2020,Kolkata,295460
5,1176,0,2010,Kolkata,58556
5,1296,0,2013,Bangalore,124072
6,1569,0,2024,Bangalore,168747
5,1753,0,2014,Bangalore,131941
5,2004,0,2009,Kolkata,126763
2,2338,0,2006,Gurgaon,98627
5,1948,0,2008,Bangalore,138762
7,3456,0,1992,Gurgaon,338318
5,1737,0,2019,Bangalore,156491
9,2462,0,2020,Gurgaon,485340
6,1823,0,2003,Bangalore,151706
8,1215,326,2004,Bangalore,166355
7,1295,0,2021,Bangalore,159413
7,1267,0,1972,Bangalore,71130
7,1797,0,2012,Bangalore,206710
8,1599,0,2010,Bangalore,240561
6,1563,0,2016,Bangalore,147648
7,2000,0,1997,Bangalore,166949
7,1536,0,2016,Kolkata,126069
6,1765,0,2007,Gurgaon,198369
7,1501,539,2014,Gurgaon,218619
9,2800,0,1980,Gurgaon,326621
6,1855,0,2010,Bangalore,151067
7,761,0,2012,Bangalore,72859
8,1535,0,2001,Bangalore,161466
8,1756,0,1995,Bangalore,168665
6,2254,281,2000,Gurgaon,279177
3,1554,312,2005,Kolkata,64515
7,1630,0,1990,Bangalore,125313
3,2154,0,2023,Gurgaon,146901
8,2063,0,2008,Gurgaon,310744
6,1499,0,2020,Gurgaon,207517
8,1894,0,2024,Gurgaon,320190
5,1859,0,1988,Gurgaon,116740
4,1186,0,2015,Kolkata,65665
7,632,0,2021,Bangalore,68569
6,1643,0,2015,Gurgaon,192166
5,1525,0,2009,Bangalore,128916
6,1370,404,2009,Bangalore,131405
10,1643,0,1978,Kolkata,111625
7,1724,0,2012,Bangalore,187512
8,1183,0,2024,Bangalore,156145
8,1183,0,2023,Gurgaon,178483
8,1244,0,1980,Kolkata,83225
6,1851,0,2017,Bangalore,186417
3,1858,0,2004,Kolkata,65506
6,2256,0,2022,Gurgaon,276913
7,627,0,1981,Kolkata,31477
5,1393,0,2023,Bangalore,121263
6,1983,334,2020,Gurgaon,260022
5,1581,0,1992,Bangalore,90441
8,1928,0,1984,Bangalore,184447
7,1373,0,2020,Gurgaon,206054
7,1529,0,1996,Bangalore,132371
7,1363,0,2012,Kolkata,118434
6,2279,0,2022,Gurgaon,306650
6,1129,0,2013,Bangalore,100596
4,1341,0,2008,Bangalore,80499
3,600,429,2009,Gurgaon,46100
6,957,0,1984,Kolkata,47020
7,1258,0,2024,Bangalore,151872
8,1499,0,2004,Gurgaon,196176
8,1444,0,2000,Kolkata,109497
8,1358,0,2003,Kolkata,115877
5,675,0,2024,Gurgaon,72006
5,1284,0,1990,Kolkata,52662
7,1367,0,2021,Gurgaon,205830
10,1929,471,2017,Kolkata,315527
8,1090,0,2020,Bangalore,182870
8,1693,0,2024,Bangalore,224873
6,1702,0,2020,Gurgaon,206231
5,1318,0,2023,Kolkata,81736
7,1914,0,1993,Gurgaon,198091
5,1717,0,2019,Gurgaon,169539
6,1051,0,2012,Gurgaon,111643
6,820,0,2012,Bangalore,74469
9,1906,0,2022,Gurgaon,323431
6,1196,0,2024,Kolkata,101837
3,1220,0,2017,Bangalore,60365
7,2175,0,2010,Gurgaon,280974
5,1704,0,2010,Gurgaon,147697
6,1348,0,2007,Gurgaon,130214
6,1372,282,2006,Bangalore,121660
6,1288,0,2007,Kolkata,81396
7,2018,0,1989,Gurgaon,181904
4,1932,0,1987,Kolkata,73454
5,1502,0,2019,Gurgaon,154738
7,1171,0,2009,Kolkata,91423
5,1366,0,2023,Kolkata,103929
4,1489,0,2014,Bangalore,102518
7,1269,0,1978,Bangalore,71343
8,775,0,1996,Kolkata,62354
6,1584,0,2000,Gurgaon,174677
3,1291,0,2024,Gurgaon,98295
7,952,0,2001,Gurgaon,98014
4,1133,0,2011,Bangalore,69680
7,1018,0,2023,Bangalore,116983
5,1768,0,2024,Bangalore,165789
4,1434,0,2001,Kolkata,64678
5,1379,0,1981,Gurgaon,98260
6,1380,0,1996,Bangalore,110938
5,883,0,1984,Gurgaon,63232
7,1592,0,2000,Gurgaon,202778
6,1683,0,2013,Bangalore,142658
8,1701,0,2022,Kolkata,186381
7,1171,0,2012,Bangalore,117404
5,2396,0,2014,Gurgaon,204016
5,802,0,2000,Bangalore,55241
4,1201,0,2019,Gurgaon,108108
7,1476,302,2014,Kolkata,136674
6,2268,0,2021,Bangalore,273957
3,2106,0,2023,Gurgaon,154414
5,1829,0,2006,Gurgaon,192980
5,708,0,1989,Gurgaon,46721
8,600,0,2001,Kolkata,50693
4,1559,0,2009,Bangalore,82659
4,1335,0,2023,Bangalore,107120
8,1171,0,2007,Bangalore,123331
8,1710,0,2019,Bangalore,199386
5,1909,0,2012,Gurgaon,205491
5,1568,0,1999,Kolkata,82073
7,1921,0,2005,Gurgaon,243249
3,2065,0,2015,Bangalore,105570
3,1503,0,2016,Bangalore,78775
6,1446,0,2009,Bangalore,118335
8,1795,0,2001,Kolkata,161165
6,1341,0,2017,Gurgaon,172117
6,2794,0,1998,Bangalore,208220
8,1852,0,2023,Bangalore,297254
9,2035,0,1999,Bangalore,248621
5,2123,0,1991,Gurgaon,159048
6,2826,0,2011,Gurgaon,342281
9,2622,0,2012,Gurgaon,535324
4,1015,0,2011,Gurgaon,96423
8,2325,0,2009,Bangalore,280299
5,1343,0,2024,Bangalore,118564
6,1549,0,2011,Bangalore,140205
6,911,0,2010,Bangalore,87856
5,1742,0,2008,Bangalore,140373
4,1511,0,1985,Gurgaon,84814
7,1546,0,2014,Bangalore,168747
8,1882,0,2001,Gurgaon,255003
6,2851,0,2015,Gurgaon,314792
6,2411,0,1982,Bangalore,146774
7,1521,0,2024,Bangalore,180617
5,1883,0,2010,Gurgaon,209901
7,1328,0,2022,Bangalore,153036
7,2008,0,2010,Bangalore,212239
10,1888,0,1984,Bangalore,206948
6,1306,454,2020,Bangalore,166868
6,1950,545,2015,Bangalore,228332
7,1570,0,2019,Gurgaon,231606
7,1482,0,2009,Bangalore,141556
5,772,0,2015,Bangalore,63806
6,1823,0,2021,Bangalore,185091
7,2392,0,2015,Bangalore,262627
5,2225,0,2006,Gurgaon,197921
6,2172,0,2016,Bangalore,200967
6,1110,0,2016,Bangalore,103359
8,1472,187,2023,Kolkata,171113
5,832,0,2007,Kolkata,44059
3,1395,371,2009,Bangalore,72837
3,1855,0,2020,Bangalore,124899
4,1546,0,2011,Bangalore,126327
4,1115,0,2018,Gurgaon,81982
6,687,0,2010,Kolkata,44004
4,864,0,2001,Bangalore,47006
5,2105,284,2018,Gurgaon,216514
5,2923,0,1994,Gurgaon,239711
5,1731,0,2000,Kolkata,98395
8,1044,0,2015,Gurgaon,159968
7,2588,0,2018,Gurgaon,349745
6,2336,0,2022,Gurgaon,279600
5,1046,0,2003,Gurgaon,88982
5,1692,0,1992,Gurgaon,128955
7,2003,0,2023,Bangalore,207284
7,2136,534,1996,Gurgaon,222885
5,689,0,2000,Kolkata,34149
6,1438,0,2003,Kolkata,96691
3,738,0,2012,Gurgaon,48748
7,1734,0,2021,Gurgaon,263258
7,2023,0,2018,Bangalore,183786
6,1859,0,2017,Gurgaon,187134
9,1950,0,1998,Gurgaon,287776
5,1546,0,2006,Kolkata,68731
6,1580,0,2010,Kolkata,123453
6,2102,264,1995,Bangalore,139714
6,2304,0,2003,Gurgaon,249450
6,1997,427,2004,Bangalore,169294
6,1837,0,1993,Bangalore,144563
7,1988,0,2012,Gurgaon,321912
8,1721,0,2017,Bangalore,176191
6,1726,0,1985,Gurgaon,138504
7,1219,0,2010,Gurgaon,136644
5,1060,0,2019,Bangalore,86582
7,1703,0,2018,Gurgaon,216991
5,1975,0,2020,Gurgaon,216391
8,1941,0,2010,Kolkata,170446
10,1723,0,2020,Kolkata,276207
6,1961,0,2002,Bangalore,143608
3,1620,0,2006,Kolkata,64669
5,1109,0,1998,Kolkata,51207
8,2339,0,2010,Gurgaon,315975
7,1387,0,2007,Bangalore,148083
6,2537,0,2002,Gurgaon,255377
8,2360,0,2018,Gurgaon,415477
7,952,0,2004,Bangalore,98647
8,1754,0,2003,Bangalore,180410
7,2258,0,1994,Bangalore,185468
8,1935,0,2009,Gurgaon,263649
7,2082,0,2004,Gurgaon,272084
7,1412,0,2006,Kolkata,105708
6,1310,0,2001,Gurgaon,134461
5,2115,0,2018,Gurgaon,202226
9,1485,0,2023,Gurgaon,294019
6,1212,0,2011,Bangalore,123900
7,1994,0,2015,Bangalore,209936
6,1664,0,2021,Bangalore,165715
5,1691,0,2024,Gurgaon,175264
6,2082,0,2014,Gurgaon,225766
8,1356,0,2022,Kolkata,127783
7,1505,0,2022,Bangalore,166491
4,1802,0,2019,Bangalore,133637
6,1165,0,2010,Bangalore,105533
9,1878,0,1988,Bangalore,192552
6,1687,0,1968,Gurgaon,84013
3,1025,0,2010,Gurgaon,69478
9,1436,0,2011,Bangalore,205156
7,2665,0,2008,Gurgaon,296594
6,1350,0,2013,Kolkata,97033
6,891,0,2012,Bangalore,78866
8,971,0,2020,Bangalore,112279
5,1156,0,1991,Kolkata,59376
8,2398,0,2001,Bangalore,268074
7,1127,0,2019,Kolkata,88983
7,2101,0,2021,Bangalore,228446
6,1337,0,2024,Kolkata,93984
6,2095,0,2021,Gurgaon,269819
8,1065,0,2022,Bangalore,166065
5,1931,0,2004,Bangalore,138330
4,1675,0,2008,Gurgaon,108404
7,2298,0,2003,Gurgaon,270622
7,882,0,2014,Kolkata,71106
7,1581,0,2023,Bangalore,199011
7,2033,395,2006,Gurgaon,270816
6,1769,0,2013,Gurgaon,164422
7,2060,0,2004,Gurgaon,248888
6,1711,0,1998,Gurgaon,140627
5,946,0,2000,Kolkata,45775
5,2238,0,1983,Bangalore,116533
9,2755,300,2023,Gurgaon,596802
4,1150,0,2008,Bangalore,59236
7,2145,429,2020,Gurgaon,360913
4,1463,0,2016,Gurgaon,125908
6,955,0,2000,Bangalore,78824
5,1975,0,1998,Bangalore,114283
3,600,0,2020,Kolkata,25065
7,1926,0,2002,Bangalore,196479
6,1383,0,2022,Bangalore,125965
3,1402,0,1995,Bangalore,63124
7,1359,0,2016,Kolkata,108585
8,1947,0,2020,Bangalore,264794
8,1057,0,2001,Kolkata,77758
7,1830,0,2003,Bangalore,169969
6,1244,0,2024,Kolkata,103306
8,1376,0,2002,Gurgaon,166850
9,1781,0,2009,Bangalore,239501
8,2315,0,2009,Bangalore,255627
5,2271,0,2002,Bangalore,152029
7,1829,0,2019,Bangalore,206130
7,735,0,2019,Kolkata,49895
3,1391,0,2007,Kolkata,51691
7,2292,0,2020,Gurgaon,377209
9,2193,0,2000,Bangalore,317970
7,1861,0,1962,Bangalore,108257
8,2218,0,2013,Gurgaon,327218
7,1812,0,2024,Gurgaon,248983
6,1533,0,1979,Gurgaon,90859
7,626,0,2000,Bangalore,61444
5,1656,0,2011,Bangalore,122548
5,1272,0,2020,Kolkata,91589
8,1936,407,1989,Bangalore,208665
8,858,0,2007,Kolkata,72004
5,1796,0,2018,Bangalore,127318
8,2625,0,2007,Bangalore,258446
6,1890,0,2000,Gurgaon,203537
7,1471,0,2000,Bangalore,137579
7,1320,510,2008,Kolkata,122128
8,2172,0,2010,Kolkata,196588
6,800,0,2021,Kolkata,67598
8,2135,320,2015,Gurgaon,342484
7,1434,0,2016,Gurgaon,175190
7,1565,0,2024,Gurgaon,219121
5,1824,0,2008,Gurgaon,143776
9,2479,0,2008,Bangalore,375589
7,2328,0,2023,Bangalore,271369
7,1706,0,2002,Bangalore,168806
4,1053,0,2017,Kolkata,51044
5,2646,0,2018,Bangalore,192016
8,1213,0,1990,Kolkata,88356
7,1553,0,2010,Gurgaon,219706
3,927,0,2000,Gurgaon,51422
8,2322,0,1999,Bangalore,208959
5,1577,0,2010,Kolkata,96958
8,3287,0,2003,Gurgaon,461612
6,860,0,2019,Bangalore,90327
7,2170,0,2022,Bangalore,262226
8,2066,0,2019,Gurgaon,328747
5,1870,0,2002,Bangalore,139607
5,600,0,2003,Kolkata,29663
6,2175,0,2002,Bangalore,165582
7,2258,0,1994,Gurgaon,210737
4,1184,0,2023,Kolkata,60107
4,2185,0,2008,Gurgaon,168330
7,901,0,2001,Kolkata,66661
5,1548,0,2021,Gurgaon,168926
6,1286,0,2008,Bangalore,86712
3,886,0,1978,Gurgaon,36237
5,2298,0,1997,Gurgaon,163311
6,1664,0,2015,Kolkata,138912
8,1665,0,2019,Gurgaon,224088
5,2031,0,2000,Gurgaon,165096
9,2071,0,2022,Gurgaon,345184
5,1651,0,2021,Bangalore,149732
5,955,0,2021,Kolkata,59263
8,1035,0,2001,Kolkata,80108
6,2397,0,1982,Gurgaon,163021
5,1470,0,2021,Bangalore,137820
6,2901,0,2004,Gurgaon,310790
8,1701,0,2014,Bangalore,241458
8,1018,0,2018,Kolkata,91025
5,2064,0,1993,Bangalore,130278
6,1790,0,2019,Bangalore,148696
6,2227,184,2023,Gurgaon,285608
5,1664,0,2017,Kolkata,96934
6,1199,0,2009,Bangalore,102324
6,1783,0,2021,Gurgaon,244679
8,1940,0,2012,Gurgaon,317389
8,1358,0,2018,Gurgaon,191856
6,1712,0,2020,Gurgaon,234587
6,2544,0,2018,Gurgaon,287345
7,1609,0,2003,Bangalore,147331
5,880,0,1992,Bangalore,51573
7,1040,0,2001,Gurgaon,115019
6,2265,0,2011,Bangalore,239797
5,1164,0,2011,Kolkata,72441
5,1202,152,2013,Bangalore,102304
8,1553,0,2007,Bangalore,166733
6,1081,0,2019,Gurgaon,149013
9,2115,0,2022,Kolkata,291700
5,1645,0,2002,Gurgaon,134700
7,2561,0,2018,Gurgaon,324574
10,1760,0,2016,Kolkata,233458
5,2157,274,2012,Bangalore,183213
3,1618,269,2000,Bangalore,77854
8,2072,0,2019,Bangalore,263522
5,1830,0,2023,Bangalore,181087
6,2174,0,2017,Gurgaon,221839
5,2030,0,2022,Gurgaon,201124
7,1728,0,2024,Gurgaon,240358
5,2846,0,2006,Gurgaon,238403
6,846,0,2015,Kolkata,70323
7,1852,0,2010,Gurgaon,259929
5,1506,0,2024,Bangalore,143094
5,1685,0,1990,Bangalore,102323
6,1302,0,2008,Bangalore,104637
4,1644,0,2021,Bangalore,107465
5,1422,208,2003,Bangalore,114496
6,600,0,2019,Kolkata,44209
6,1504,0,2007,Bangalore,137073
6,770,0,2024,Kolkata,59862
6,600,0,2022,Kolkata,46904
5,1562,0,2004,Bangalore,111600
7,2103,0,2019,Gurgaon,292575
8,1922,0,2005,Bangalore,187342
5,2144,0,2014,Gurgaon,220937
7,611,0,2015,Bangalore,64204
6,669,0,2020,Kolkata,48600
6,2407,0,1972,Bangalore,100513
8,1198,0,2001,Bangalore,129920
